year,category,paper_count,share
2021,China only,269,0.10228136882129278
2021,Other regions,521,0.19809885931558935
2021,US only,1504,0.5718631178707224
2021,US-China collaboration,336,0.12775665399239544
2022,China only,437,0.1636091351553725
2022,Other regions,521,0.19505803070011232
2022,US only,1333,0.4990640209659304
2022,US-China collaboration,380,0.1422688131785848
2023,China only,591,0.1836544437538844
2023,Other regions,615,0.1911124922311995
2023,US only,1545,0.4801118707271597
2023,US-China collaboration,467,0.14512119328775638
2024,China only,968,0.2399008674101611
2024,Other regions,761,0.1885997521685254
2024,US only,1564,0.3876084262701363
2024,US-China collaboration,742,0.1838909541511772
2025,China only,1555,0.29406202723146746
2025,Other regions,965,0.18248865355521937
2025,US only,1762,0.3332072617246596
2025,US-China collaboration,1006,0.19024205748865355
